budget,domgross,title
13000000,25682380,21 &amp; Over
45658735,13414714,Dredd 3D
20000000,53107035,12 Years a Slave
61000000,75612460,2 Guns
40000000,95020213,42
225000000,38362475,47 Ronin
92000000,67349198,A Good Day to Die Hard
12000000,15323921,About Time
13000000,18007317,Admission
130000000,60522097,After Earth
40000000,148430908,American Hustle
25000000,37304874,August: Osage County
50000000,19452138,Beautiful Creatures
18000000,33345833,Blue Jasmine
55000000,107136417,Captain Phillips
30000000,35266619,Carrie
78000000,119640264,Cloudy with a Chance of Meatballs 2
76000000,368065385,Despicable Me 2
5500000,24477704,Don Jon
120000000,93050117,Elysium
110000000,61737191,Ender&#39;s Game
100000000,107518682,Epic
40000000,57012977,Escape from Planet Earth
70000000,25213103,Escape Plan
17000000,54239856,Evil Dead
160000000,238679850,Fast and Furious 6
150000000,393050114,Frozen
140000000,122523060,G.I. Joe: Retaliation
60000000,46000903,Gangster Squad
30000000,4167493,Gloria